button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
B,L,"[3, 1]",1.0,2.0,0.15665102005004883,1.6454780101776123,0.4858836797916189,30.0,182.0
R,U,"[2, 1]",1.0,3.0,0.19261407852172852,1.510145902633667,0.31279375878665217,30.0,183.0
Y,R,"[2, 2]",1.0,4.0,0.15987300872802734,1.6233479976654053,0.4360382661013256,30.0,184.0
R,U,"[1, 2]",1.0,5.0,0.18040084838867188,1.746635913848877,0.5659822311484175,30.0,185.0
Y,R,"[1, 3]",-1.0,5.0,0.05292105674743652,5.766954183578491,0.5828702057396964,30.0,186.0
,,"(3, 3)",,,,,,30.0,
B,L,"[3, 2]",1.0,1.0,0.15519094467163086,6.964403867721558,0.48080059156174243,,187.0
B,L,"[3, 1]",-1.0,1.0,0.09673309326171875,5.942415952682495,0.7063838936443668,31.0,188.0
B,L,"[3, 0]",0.0,1.0,0.21166706085205078,1.5762500762939453,0.3663770102024217,31.0,189.0
Y,R,"[3, 1]",0.0,1.0,0.18724989891052246,1.600389003753662,0.40024739297317846,31.0,190.0
Y,R,"[3, 2]",0.0,1.0,0.17232894897460938,1.5433809757232666,0.3602705087418041,31.0,191.0
Y,R,"[3, 3]",0.0,1.0,0.18308210372924805,1.714836835861206,0.5415734809413368,31.0,192.0
,,"(3, 3)",,,,,,31.0,
B,L,"[3, 2]",1.0,1.0,0.32906007766723633,3.5267438888549805,0.4352011720394831,,193.0
B,L,"[3, 1]",1.0,2.0,0.1670999526977539,1.478585958480835,0.29725243810700086,32.0,194.0
R,U,"[2, 1]",1.0,3.0,0.22306299209594727,1.9389169216156006,0.7025384271289716,32.0,195.0
Y,R,"[2, 2]",1.0,4.0,0.18557214736938477,1.7118098735809326,0.5146075239834664,32.0,196.0
R,U,"[1, 2]",1.0,5.0,0.18010187149047852,1.578603982925415,0.39330483107719166,32.0,197.0
Y,R,"[1, 3]",1.0,6.0,0.18146204948425293,1.6246910095214844,0.4513117019215033,32.0,198.0
,,"(3, 3)",,,,,,32.0,
B,L,"[3, 2]",1.0,1.0,0.15609002113342285,2.9395430088043213,0.4909627484961622,,199.0
B,L,"[3, 1]",1.0,2.0,0.18279194831848145,1.9180059432983398,0.7252120744336927,33.0,200.0
R,U,"[2, 1]",1.0,3.0,0.1864030361175537,1.5495800971984863,0.3586227201287443,33.0,201.0
Y,R,"[2, 2]",1.0,4.0,0.1973578929901123,1.9169719219207764,0.7251792289948373,33.0,202.0
R,U,"[1, 2]",1.0,5.0,0.1688690185546875,1.4458458423614502,0.2715245883003221,33.0,203.0
Y,R,"[1, 3]",1.0,6.0,0.24388885498046875,1.6093709468841553,0.3640450019862373,33.0,204.0
,,"(3, 3)",,,,,,33.0,
B,L,"[3, 2]",1.0,1.0,0.24197101593017578,4.26498007774353,0.4624036511696889,,205.0
B,L,"[3, 1]",1.0,2.0,0.14943695068359375,1.7101340293884277,0.5724721795912111,34.0,206.0
R,U,"[2, 1]",1.0,3.0,0.17357587814331055,1.6229867935180664,0.44557693830747686,34.0,207.0
Y,R,"[2, 2]",1.0,4.0,0.17313909530639648,1.6330809593200684,0.46204972558417395,34.0,208.0
R,U,"[1, 2]",1.0,5.0,0.18590307235717773,1.7706000804901123,0.5825404041654141,34.0,209.0
Y,R,"[1, 3]",1.0,6.0,0.1660778522491455,1.8897349834442139,0.7054862444763996,34.0,210.0
,,"(3, 3)",,,,,,34.0,
B,L,"[3, 2]",-1.0,0.0,0.09714508056640625,7.406134843826294,0.6284619371078283,,211.0
R,U,"[2, 2]",1.0,1.0,0.30260205268859863,1.9250409603118896,0.6202335704550976,35.0,212.0
Y,R,"[2, 3]",-1.0,0.0,0.15520405769348145,1.6636099815368652,0.5006375732059105,35.0,213.0
R,U,"[1, 3]",1.0,1.0,0.2535548210144043,1.8247849941253662,0.5586558245726536,35.0,214.0
Y,R,"[1, 4]",-1.0,0.0,0.16219711303710938,1.8707098960876465,0.679318337605185,35.0,215.0
B,L,"[1, 3]",0.0,0.0,0.5326030254364014,1.8009250164031982,0.2641135515956192,35.0,216.0
,,"(3, 3)",,,,,,35.0,
B,L,"[3, 2]",1.0,1.0,0.29425477981567383,2.572726011276245,0.3701786823803576,,217.0
B,L,"[3, 1]",1.0,2.0,0.16725707054138184,1.840075969696045,0.659848570609906,36.0,218.0
R,U,"[2, 1]",1.0,3.0,0.20800018310546875,1.718384027481079,0.5116839002230213,36.0,219.0
Y,R,"[2, 2]",1.0,4.0,0.18827414512634277,1.528306007385254,0.34037635256772597,36.0,220.0
R,U,"[1, 2]",1.0,5.0,0.20101594924926758,1.8884811401367188,0.6785213625126061,36.0,221.0
Y,R,"[1, 3]",1.0,6.0,0.1908130645751953,1.784372091293335,0.5963291157906121,36.0,222.0
,,"(3, 3)",,,,,,36.0,
B,L,"[3, 2]",1.0,1.0,0.17119812965393066,3.1100990772247314,0.47317200290883904,,223.0
B,L,"[3, 1]",1.0,2.0,0.14400196075439453,1.4771151542663574,0.3339195711046239,37.0,224.0
R,U,"[2, 1]",1.0,3.0,0.2367238998413086,1.8635060787200928,0.6136576774184184,37.0,225.0
Y,R,"[2, 2]",1.0,4.0,0.16801118850708008,1.701030969619751,0.5147998890281487,37.0,226.0
R,U,"[1, 2]",1.0,5.0,0.23802709579467773,1.873042106628418,0.6211726584543478,37.0,227.0
Y,R,"[1, 3]",1.0,6.0,0.19238996505737305,1.6913831233978271,0.496059057020045,37.0,228.0
,,"(3, 3)",,,,,,37.0,
B,L,"[3, 2]",1.0,1.0,0.11458086967468262,3.379060983657837,0.49190825379555986,,229.0
B,L,"[3, 1]",1.0,2.0,0.16493988037109375,1.4921119213104248,0.3341282575111098,38.0,230.0
R,U,"[2, 1]",1.0,3.0,0.20912909507751465,1.9570419788360596,0.7407281978191936,38.0,231.0
